"","mUMSARS 1 + 2","3","4","5","6 (Death)"
"mUMSARS 1 + 2",0.908986695064476,0.0861926063061163,0.00473732349861154,5.06139918540958e-05,3.27611389421547e-05
"3",0,0.897550103193613,0.099817667848175,0.00160393752188585,0.0010282914363266
"4",0,0,0.949991792812631,0.0303415399201865,0.019666667267183
"5",0,0,0,0.968671019490777,0.0313289805092226
"6 (Death)",0,0,0,0,1
